CT_FIPS,PM25,OZONE,DSLPM,CANCER,RSEI_AIR,PTRAF,HI,EBLL,Freight,TRI,RMP,Psites,Waste,PWDis,CF,POC,NoIns,HBLI,LowInc,LowEd,Unemp,LingIso,CHD,Asthma,Disability,YoungAge,OldAge,LBW
17031839500,10.01394877,65.53458,0.903914492,30,6256.451152,146.4285138,0.690277649,0.558406516,0.025555531,0.007399936,0,0.116939359,0.049887705,5.277323385,0.03548632,0.838917526,6.378865979,0.314171123,0.210339943,12.1,6.315789474,6.8,8.798050657,11.19920291,0.18556701,0.164304124,0.295747423,12.20000221
17031839600,10.01925726,65.55268,0.873663725,30,6169.635442,183.5545112,0.6902776,0.558406256,0.021401161,7.66E-06,0,0.508552751,0.029045185,4.430930779,0.029100293,0.949051491,5.962059621,0.353131749,0.21069869,18.2,8.979089791,1.4,8.200227271,11.20055968,0.267208672,0.112195122,0.32195122,13.29959905
17031839700,10.08981836,65.39871,1.021245065,30,7891.095201,49.4756457,0.700420497,0.406494883,0.105170572,2025468.464,0.007950534,0.15587518,0,6.982494264,2.764294355,0.674164013,11.12659236,0.233225108,0.071841948,15,4.183053271,15.4,4.399849467,8.499534362,0.097531847,0.206807325,0.116839172,5.105077716
17031839800,10.06148959,65.43595,1.037887323,30,7380.028527,134.3066172,0.700389203,0.406494821,0.061776094,22600.39492,0,0.069443326,0.000433697,8.965782433,0.312887491,0.467258602,9.470958195,0.316129032,0.128272251,12.3,7.99016595,19,4.799945842,8.000023699,0.073251942,0.20236774,0.1172771,4.20057699
17031839900,10.09006603,65.4692,1.003027711,30,7510.005406,104.6308019,0.710555416,0.40649491,0.52741136,21347106.94,0.360880352,0.964943995,0.045278641,5.392767847,12.90727241,0.508720319,3.299012398,0.253554502,0.099810885,13.3,4.197447952,11.4,4.100751665,8.69989904,0.100021013,0.162008825,0.156755621,4.302697442
17031840000,10.05908986,65.52639,1.017228916,30,7242.695716,136.874892,0.700388937,0.408306593,0.377684829,700107.4493,0.025188918,0.375777675,0.028267113,7.388512577,1.170927356,0.603441963,4.430611498,0.245300752,0.143171,21.5,7.324840764,26.4,4.400122579,8.000098601,0.107652874,0.2288539,0.163676309,7.500067654
17031840100,10.04174685,65.45035,1.100554721,30,7282.519105,1389.482463,0.710387993,0.406533822,0.209700042,617041.506,0,0.096859685,0.002289622,16.29897015,0.532487901,0.751925546,10.33376123,0.276315789,0.115532734,17.5,9.471365639,37.5,5.000229278,7.300048175,0.130937099,0.180359435,0.147946085,6.399997954
17031840200,10.05911973,65.31026,1.108475667,30,7853.721845,1746.663751,0.720409422,0.430196026,0.423526787,6607792.946,0,0.357122611,0,31.77881507,2.59335386,0.810799136,6.972715461,0.447688564,0.299784017,37,5.165289256,45.7,4.60021423,7.300298045,0.135989606,0.211346903,0.202159827,4.90008421
17031840300,10.14474986,65.38232,0.652288012,30,9815.426542,1107.952583,0.690512502,1.012474028,0.522482901,5975118.103,0.002157951,0.123804765,0,16.89183769,1.160093031,0.895310796,13.46782988,0.322686323,0.083837273,30.5,12.03155819,37.4,4.700304247,8.500220037,0.059432933,0.23827699,0.088331516,3.801781462
17031840400,10.12292904,65.50634,0.922780173,30,8914.342828,701.9259945,0.730301253,1.019587747,0.469637636,6210744.804,0.000428921,0.085990958,0,9.69356725,1.98003698,0.867230814,11.32185585,0.319298246,0.136562591,19.2,4.124801692,38.9,5.293905228,8.202028037,0.103005544,0.234023928,0.145900204,7.086627785
17031840700,10.12901123,65.35713,0.633854949,30,10314.16567,145.3251537,0.72061108,2.545353782,0.28909117,2352741.427,0.000679606,0.472042063,0.015583659,5.928462225,2.005181138,0.862730807,11.78328474,0.290546401,0.172983479,38,5.301410859,36.2,4.400027376,9.300088093,0.090379009,0.206268222,0.106656948,9.099434883
17031840800,10.18257068,65.4684,0.613556165,30,12396.76814,153.4998698,0.84080928,2.545119116,0.170841661,1641976.665,0,0.509729444,0.014172069,11.35333445,1.296601944,0.988734065,16.0391343,0.498305085,0.321079158,31.7,10.72351421,44.2,5.299992635,10.09998265,0.068188556,0.351912244,0.031722502,5.900229093
17031841000,9.984913425,65.44505,1.18233605,30,6297.134629,2385.930519,0.830230615,0.269076257,0.476077686,1327815.417,0.150919164,0.970545516,0.010237804,9.906124471,1.273571926,0.69513315,1.01010101,0.293375394,0.198347107,7.8,0.546448087,10.9,4.09303994,9.196104297,0.136822773,0.103764922,0.204775023,8.69018632
17031841100,10.00232055,65.44635,1.344229416,30,7167.124791,1909.671885,0.830037917,0.461012235,0.772476848,6239293.477,0.000412403,1.592328641,0.142382588,37.97887455,3.358093172,0.885208776,7.841472045,0.348042705,0.20552017,43.1,6.787595085,56.6,7.094452648,7.200426752,0.197452229,0.140552017,0.24373673,6.499344211
17031841200,10.08665123,65.4534,0.677429941,30,9415.180122,201.6596208,0.720514843,2.010585644,0.350049244,3074386.858,0.002008798,0.15806534,0,7.088767907,3.367519764,0.854096521,9.001122334,0.336165049,0.086405791,25.4,3.334795963,21.9,3.800204171,8.700213554,0.105499439,0.246689113,0.135353535,9.700050186
17031841300,10.12491671,65.41316,0.649996427,30,9606.677227,231.0396861,0.72072411,2.022084849,0.899082389,4179822.534,0.337737714,0.518628384,0,11.33753451,9.987166274,0.847680591,7.362104777,0.2881172,0.170168552,24.9,6.229019023,29.3,3.899863115,8.400185517,0.120009231,0.187399031,0.06808216,3.904449004
