FIPS_Num,PM25,OZONE,DSLPM,CANCER,RSEI_AIR,PTRAF,HI,EBLL,POC,NoIns,HBLI,LowInc,LowEd,Unemp,LingIso,CHD,Asthma,Disability,YoungAge,OldAge,LBW,Freight,TRI,RMP,Psites,Waste,PWDis,CF
17031030102,9.397766849,67.31271,0.405587792,20,5266.14317,384.5862754,0.590347659,1.1,0.643840105,0.083717864,0.437699681,0.318061964,0.153501629,0.078775715,0.044195953,4.2,9.1,0.104152933,0.064547837,0.21559633,7.0560564,0,0,0,0.013039334,0,22.6689489,0.005328133
17031030103,9.39499726,67.34317,0.389483463,20,5067.73557,535.7377156,0.590346844,1.1,0.511101437,0.093600348,0.418446602,0.347058824,0.087692308,0.088350274,0.076699029,2.5,9.3,0.134958642,0.053112756,0.069220723,7.0560564,0,0,0,0.003139307,0,22.82694509,0.00676843
17031030104,9.382049315,67.4214,0.37805604,20,5058.733282,596.5420154,0.580331272,1.1,0.416613007,0.080811333,0.481331988,0.377224199,0.073253833,0.121815287,0.012108981,3,10.4,0.071152608,0.038312943,0.141661301,7.0560564,0,0,0,0.000735714,0,25.21026584,0.010882299
17031030200,9.420926575,67.21162,0.406928315,20,5386.457222,267.7621044,0.600352249,1.1,0.355959669,0.150018031,0.266019417,0.208077894,0.05560814,0.059689719,0.062524272,3.3,8.7,0.042733502,0.138098668,0.106769896,7.0560564,0.05901032,0.008183005,0,0.040778778,0.003496448,27.12070023,0.231044606
17031030300,9.451185753,67.14169,0.417256999,20,5615.668187,514.0363838,0.640359887,1.1,0.717737507,0.131615406,0.234899329,0.339099396,0.11015625,0.050792171,0.136241611,5.3,9.1,0.135771682,0.179846238,0.149093904,7.0560564,0.174360791,0.026890777,0,0.000468452,0.013714347,33.02770532,0.149664462
17031030400,9.491292055,67.06554,0.454818196,20,5741.797448,570.6585659,0.830395353,1.1,0.417434444,0.116583983,0.212050078,0.265060241,0.027548209,0.035087719,0.067292645,4.1,8.7,0.085400425,0.189227498,0.108433735,7.0560564,0.185930448,0.195534437,0,0.065085167,0,33.58175508,0.457514093
17031030500,9.463274795,67.15437,0.449049656,20,5563.670207,571.811497,0.670359799,1.1,0.402900378,0.099581051,0.17733825,0.178820854,0.06371138,0.017887205,0.066040898,2.8,8.4,0.073155011,0.123581337,0.083070618,7.0560564,0.049696706,0.050747173,0,0.26574116,0,24.89079673,0.179818343
17031030601,9.43054137,67.29409,0.438428445,20,5253.695317,380.004847,0.590348952,1.1,0.591355078,0.065605807,0.485926713,0.52065885,0.121803977,0.047812359,0.156133829,6.4,9.9,0.11641541,0.171042164,0.136833731,7.0560564,0,0,0,0.074919398,0,23.38803389,0.005820325
17031030603,9.441499726,67.19864,0.444878789,20,5539.88,983.9494628,0.620347152,1.1,0.536659436,0.103253796,0.370588235,0.337527115,0.06996587,0.067515924,0.161029412,2.9,9.2,0.104989154,0.14186551,0.121908894,7.0560564,0,0,0,0.060803334,0.000170479,4.508884749,0.025603714
17031030604,9.434905753,67.29032,0.416150273,20,5284.439251,1124.342973,0.590337854,1.1,0.46901746,0.046217049,0.371740161,0.258130777,0.057098162,0.032390746,0.109530583,4.7,8.7,0.190688121,0.052721671,0.238616912,7.0560564,0,0,0,0.038266444,0.002853255,4.097567624,0.016921273
17031030701,9.456399726,67.17704,0.451775141,20,5492.852989,1159.372025,0.620350147,1.1,0.555997349,0.092867756,0.40022805,0.408419498,0.053067993,0.128927411,0.059293044,3.9,9.5,0.147845468,0.107355865,0.136514248,7.0560564,0,0,0,0.018022109,0.002242876,4.495440409,0.032357043
17031030702,9.466309863,67.22624,0.428308645,20,5289.920548,1343.22973,0.590343769,1.1,0.460723742,0.068402471,0.378467635,0.262135922,0.03518335,0.114934618,0.052179657,5.5,8.1,0.103265666,0.088261253,0.293909974,7.0560564,0,0,0,0.002634291,0.003465523,4.367782549,0.005738469
17031030703,9.484577808,67.1694,0.451555937,20,5562.986317,638.8521441,0.610345963,1.1,0.448755254,0.051406402,0.340647858,0.38247656,0.078130984,0.094867807,0.242424242,6.5,9.4,0.195926285,0.043000323,0.291302942,7.0560564,0,0,0,0.068172443,0.025570743,4.715978676,0.097043168
17031030706,9.453626849,67.21354,0.423964977,20,5340.771877,988.8869711,0.590348418,1.1,0.392194745,0.018160742,0.443676939,0.210973725,0.062578223,0.114017438,0.052072264,6.1,8.1,0.198608964,0.032071097,0.288639876,7.0560564,0,0,0,0.042164773,0.122272565,4.485400758,0.059453273
17031030800,9.50385589,67.01715,0.46141721,20,5680.310787,287.9315209,0.680356403,1.1,0.290368272,0.041330399,0.267189663,0.14551235,0.029194928,0.0375,0.011998154,3,8,0.052090976,0.143767705,0.141643059,7.0560564,0.03253224,0.056868077,0,0.272622615,0.004133938,5.455759495,0.262253391
17031030900,9.525322192,66.91565,0.465488895,30,5898.756189,227.2177081,1.140332685,1.1,0.28153446,0.043237971,0.255232951,0.175719895,0.048174048,0.045900178,0.008102633,3.1,8.2,0.080624187,0.124512354,0.093302991,7.0560564,0.202028764,0.3342644,0,0.151438525,0,14.30343817,0.375736742
17031031000,9.55714137,66.8576,0.477063821,20,6104.470884,316.7116327,0.770375729,0.9,0.301204819,0.077219016,0.245967742,0.086896552,0.015625,0.03768219,0.008064516,2.9,8.6,0.0714482,0.100766703,0.060788609,7.9561528,0.202998683,0.201367749,0,0.224248033,0,7.511162935,0.36770837
17031031100,9.541507671,66.95242,0.473154665,20,5804.298099,227.7804388,0.650363234,0.9,0.312576562,0.06083887,0.303739951,0.367317276,0.026550868,0.029069767,0.032855645,3,8.4,0.09032392,0.108411597,0.104736627,7.9561528,0.030026757,0.033060516,0,0.234017972,0.004047915,5.969559237,0.274934913
17031031200,9.51424,67.08363,0.45554771,20,5720.43395,253.9205417,0.59034801,0.9,0.752021563,0.159066808,0.51171536,0.631364922,0.246140652,0.055505005,0.196702343,6.5,9.8,0.261930011,0.15953504,0.077830189,7.9561528,0,0,0,0.187283214,0.03600949,5.118977376,0.168154096
17031031300,9.486712055,67.15603,0.637127006,20,5629.29463,970.5001206,0.600337833,0.9,0.454837298,0.121989122,0.320302088,0.312733499,0.094336621,0.030425963,0.082852066,6,9.1,0.210567211,0.060265577,0.286443893,7.9561528,0,0,0,0.222629159,0.187168371,4.671728665,0.065372529
17031031400,9.525262466,67.11016,0.778711598,20,5863.215744,918.7270064,0.680235843,0.9,0.271077908,0.051135111,0.35600907,0.149878775,0.021744442,0.01553063,0.027858763,4.1,8.4,0.099404893,0.041408751,0.204909285,7.9561528,0,0,0,0.369297892,0.003188543,4.495865168,0.007719677
17031031501,9.524976986,67.06338,0.701492937,20,5845.360179,539.4675272,0.700332309,0.9,0.653448276,0.07640547,0.437875752,0.603863686,0.166294287,0.05335097,0.252004008,6.2,9.7,0.186672455,0.196551724,0.148275862,7.9561528,0,0,0,0.217373344,0.002456235,4.843064899,0.0120847
17031031502,9.538679178,67.04883,0.759539874,30,6120.730353,227.2074794,0.710332433,0.9,0.606663782,0.169264069,0.371779141,0.496536797,0.141025641,0.083169097,0.172188139,4.8,10.6,0.134632035,0.185850281,0.098658589,7.9561528,0,0,0,0.172775348,0,4.860259434,0.001360421
17031031700,9.573377808,66.80375,0.488984073,20,6160.833081,106.1563369,0.600376662,0.9,0.327504494,0.060046574,0.276472481,0.256320692,0.047913755,0.043969591,0.038300612,3.1,9.4,0.104457751,0.104592254,0.055074359,7.9561528,0.020815276,0.001344256,0,0.294846919,0,6.433144201,0.203956936
17031031800,9.588547945,66.803,0.48922932,20,6248.427756,249.1528723,0.720385801,0.9,0.469725639,0.077105014,0.233429395,0.241461101,0.017219388,0.067818298,0.031700288,2.2,8.2,0.066225166,0.104068117,0.069063387,7.9561528,0.104451382,0.016317922,0,0.175604572,0,8.346761908,0.523919645
17031031900,9.606023562,66.75768,0.495717855,20,6430.065075,145.1126877,0.710369641,0.9,0.274720728,0.039304923,0.288490284,0.102606537,0.049844237,0.014634146,0.008221226,2.5,8.9,0.04385602,0.145221349,0.051303269,7.9561528,0.107872615,0.006108231,0,0.116792241,0,8.342333899,0.785431415
17031032100,9.574389863,66.92017,0.785880371,30,6214.962007,294.2478378,0.700240849,0.9,0.461464487,0.099229152,0.267886855,0.308199019,0.102291326,0.054213535,0.096981222,3.2,9.1,0.09880869,0.06649265,0.081604616,7.9561528,0,0,0,0.073343752,0,5.051025426,0.03404845
17031040100,9.539846575,66.86452,0.46122578,30,6248.596762,142.8329119,0.920364498,1,0.352779855,0.045172948,0.300266667,0.186628807,0.053406368,0.014078842,0.026133333,3.5,8.5,0.056014455,0.18249813,0.115681875,6.5978621,0.537956131,0.83149465,0,0.349319348,0,38.12662656,2.123112896
17031040201,9.633150959,66.64592,0.489009974,20,6848.802001,282.7064219,0.720378834,1,0.266746411,0.05477402,0.254648074,0.17961383,0.041434874,0.052230686,0.099269588,3.1,8.4,0.057018857,0.150269139,0.106907895,6.5978621,0,0.001102643,0,0.332443734,0,50.81452183,0.230554405
17031040202,9.586203836,66.63495,0.476644945,20,6770.938095,292.1704276,0.730379553,1,0.699811676,0.232188621,0.445323246,0.465786776,0.163235021,0.105812897,0.216643741,4.8,9,0.068170169,0.234149404,0.100439422,6.5978621,0,0.005316048,0,0.141769456,0,108.0665488,0.053836489
17031040300,9.640264384,66.62459,0.487325617,20,7079.730477,99.26465777,0.620373595,1,0.566111655,0.136546185,0.231505657,0.256237357,0.099222679,0.103548575,0.164490862,4.7,8.3,0.054886212,0.236369572,0.181194907,6.5978621,0,0.104248272,0,0.18457586,0,338.2307699,0.133883734
