Asthma,CHD,Disability,LBW,OldAge,YoungAge,NoIns,HBLI,LowInc,LowEd,Unemp,LingIso,Freight,PWDis,Waste,Psites,RMP,TRI,CF,CANCER,HI,OZONE,PM25,DSLPM,PTRAF,RSEI_AIR,EBLL,SenPop,SEFac,EnvCond,EnvExp,PopChar,PolBur,Index
0.3325,0.6195,0.2971,0.3161,0.8116,0.9191,0.2592,0.2743,0.1909,0.2149,0.6511,0.579,0.0,0.8673,0.0,0.1858,0.0,0.1884,0.1694,0.0,0.2326,0.9431,0.0278,0.0215,0.4298,0.0784,0.7332,0.5493166666666668,0.3615666666666666,0.20155714285714282,0.3083,0.4554416666666667,0.2727190476190476,0.12420761757936508
0.4387,0.4589,0.1479,0.3236,0.6018,0.4109,0.9001,0.7054,0.5424,0.5335,0.3186,0.7813,0.3186,0.8357,0.708,0.091,0.0,0.4008,0.2238,0.0,0.2339,0.9633,0.0228,0.0177,0.641,0.0556,0.7421,0.39696666666666663,0.6302166666666666,0.3682714285714285,0.33455,0.5135916666666667,0.3457904761904762,0.177595106984127
0.6018,0.6991,0.464,0.6523,0.512,0.8989,0.9305,0.885,0.8003,0.7863,0.5209,0.9368,0.4614,0.823,0.8799,0.0936,0.0,0.6283,0.1896,0.0,0.2655,0.9532,0.0303,0.0228,0.5411,0.3186,0.737,0.6380166666666667,0.8099666666666666,0.43939999999999996,0.3585625,0.7239916666666666,0.38550833333333334,0.2791048207638889
0.6094,0.7598,0.3654,0.2769,0.6195,0.9064,0.4804,0.5727,0.7699,0.4235,0.5676,0.7257,0.0,0.9077,0.0,0.7004,0.0,0.3451,0.1757,0.0,0.2769,0.9229,0.0468,0.0569,0.287,0.22,0.7358,0.5895666666666667,0.5899666666666668,0.3041285714285714,0.31828749999999995,0.5897666666666668,0.3135678571428571,0.1849318698809524
0.4071,0.6359,0.086,0.6713,0.4855,0.7497,0.8989,0.2718,0.2111,0.4387,0.0784,0.7674,0.0,0.8559,0.0,0.3704,0.0,0.0,0.3211,0.0,0.2528,0.9494,0.0392,0.0265,0.598,0.1707,0.7383,0.5059166666666667,0.44438333333333335,0.22105714285714284,0.34686249999999996,0.47515,0.3049273809523809,0.1448862450595238
0.0834,0.5992,0.1176,0.5259,0.9583,0.3628,0.263,0.6549,0.354,0.3325,0.421,0.5044,0.0,0.9494,0.0,0.0,0.0,0.4412,0.0607,0.0,0.2756,0.8938,0.0733,0.158,0.7054,0.4248,0.7269,0.44120000000000004,0.4216333333333333,0.20732857142857145,0.40722499999999995,0.43141666666666667,0.34059285714285714,0.1469374351190476
0.488,0.737,0.3603,0.5727,0.5601,0.981,0.2566,0.7143,0.4336,0.8015,0.6131,0.9229,0.0,0.9444,0.0,0.3034,0.0,0.2478,0.1391,0.0,0.2794,0.914,0.0594,0.0923,0.7042,0.3818,0.7282,0.6165166666666667,0.6236666666666667,0.23352857142857145,0.3949125,0.6200916666666667,0.3411178571428572,0.21152434056547623
0.402,0.5335,0.5322,0.488,0.3919,0.4121,0.8508,0.6448,0.4147,0.5929,0.1745,0.8394,0.0,0.8571,0.0,0.1618,0.0,0.2111,0.4311,0.0,0.5284,0.9216,0.0619,0.1327,0.7231,0.3477,0.7408,0.45995,0.5861833333333334,0.2373,0.43202500000000005,0.5230666666666667,0.3671166666666667,0.19202649111111114
0.5221,0.598,0.488,0.3198,0.1669,0.8104,0.9431,0.5752,0.579,0.9532,0.6119,0.8875,0.0,0.8534,0.0,0.268,0.0,0.0,0.4513,0.0,0.2781,0.9254,0.0544,0.0746,0.6473,0.292,0.7307,0.48419999999999996,0.7583166666666665,0.22467142857142858,0.3753125,0.6212583333333332,0.3250988095238095,0.20197034457341265
0.5904,0.4501,0.1327,0.7472,0.1504,0.7611,0.9735,0.7421,0.6991,0.7762,0.0872,0.8571,0.268,0.8142,0.6296,0.0594,0.0,0.2693,0.2668,0.0,0.2807,0.9444,0.0455,0.0657,0.6536,0.2364,0.7396,0.47198333333333325,0.6892,0.32961428571428575,0.37073750000000005,0.5805916666666666,0.35702976190476193,0.2072885045138889
0.5866,0.7168,0.7408,0.5171,0.6675,0.5588,0.7472,0.7004,0.7863,0.6814,0.1391,0.9027,0.6511,0.7977,0.7434,0.0,0.0,0.3982,0.402,0.0,0.292,0.9558,0.0379,0.0582,0.689,0.2301,0.7295,0.6312666666666668,0.6595166666666666,0.4274857142857143,0.3740625000000001,0.6453916666666667,0.39187023809523813,0.25290978608134923
0.5158,0.5891,0.6941,0.3502,0.8357,0.1985,0.7155,0.8293,0.5942,0.5145,0.8344,0.8483,0.0,0.7446,0.0,0.2339,0.0,0.0,0.0367,0.0,0.2465,0.9886,0.0215,0.0544,0.7421,0.0468,0.4652,0.5305666666666667,0.7227,0.14502857142857145,0.3206375,0.6266333333333334,0.2621011904761905,0.1642413426587302
0.464,0.3603,0.3363,0.7206,0.8559,0.0632,0.6359,0.804,0.6953,0.5815,0.5386,0.7509,0.0,0.7408,0.0,0.1568,0.0,0.0,0.0506,0.0,0.2478,0.9912,0.0177,0.0367,0.7535,0.0493,0.4602,0.4667166666666667,0.6677,0.13545714285714286,0.31955,0.5672083333333333,0.2581857142857143,0.1464450886904762
0.4893,0.1353,0.469,0.0379,0.2453,0.0354,0.4627,0.6953,0.4349,0.158,0.5019,0.4121,0.0,0.7421,0.0,0.0986,0.0,0.0,0.0594,0.0,0.2453,0.9924,0.0164,0.0202,0.8028,0.0278,0.4564,0.2353666666666667,0.44415,0.12858571428571428,0.32016249999999996,0.33975833333333333,0.2563035714285714,0.08708127425595237
0.6245,0.1871,0.3717,0.1024,0.6233,0.0114,0.5853,0.9001,0.8167,0.4678,0.5803,0.4121,0.0,0.7573,0.0,0.0721,0.0,0.0,0.0759,0.0,0.2263,0.9962,0.0126,0.0164,0.8205,0.0265,0.4842,0.32006666666666667,0.62705,0.1293285714285714,0.3228375,0.4735583333333333,0.2583345238095238,0.1223364665376984
0.268,0.2301,0.1391,0.196,0.3793,0.1757,0.7889,0.22,0.378,0.2149,0.2503,0.6346,0.3578,0.7661,0.6283,0.2718,0.0,0.2895,0.4425,0.0,0.2668,0.976,0.024,0.0379,0.6384,0.0695,0.4665,0.23136666666666664,0.41445000000000004,0.39371428571428563,0.3098875,0.32290833333333335,0.3378297619047619,0.10908804536706349
0.4311,0.5765,0.5828,0.1113,0.5853,0.5284,0.7927,0.4893,0.5575,0.4817,0.4829,0.7762,0.555,0.78,0.6903,0.067,0.0,0.3793,0.3439,0.0,0.2895,0.9659,0.0316,0.0531,0.7939,0.1125,0.4678,0.46923333333333334,0.5967166666666667,0.4022142857142858,0.33928749999999996,0.532975,0.36026309523809524,0.1920112231845238
0.2857,0.3375,0.3186,0.7219,0.4753,0.2908,0.6536,0.2288,0.531,0.1972,0.1252,0.6561,0.5752,0.7838,0.0,0.3287,0.0,0.7067,0.603,0.0,0.8786,0.9608,0.0442,0.0898,0.8129,0.1416,0.4488,0.40496666666666664,0.39865,0.42819999999999997,0.42208749999999995,0.4018083333333333,0.4241249999999999,0.17041695937499995
0.1555,0.1643,0.5095,0.4336,0.2731,0.2111,0.3906,0.1416,0.1745,0.2693,0.0455,0.5664,0.3338,0.7547,0.0,0.7054,0.0,0.4425,0.3906,0.0,0.3085,0.9671,0.0354,0.0834,0.8142,0.1037,0.4614,0.29118333333333335,0.26465,0.37528571428571433,0.3467124999999999,0.2779166666666667,0.3562369047619047,0.09900417311507936
0.5967,0.7649,0.5752,0.5297,0.6258,0.2933,0.2832,0.7547,0.4665,0.5866,0.3161,0.7434,0.0,0.7484,0.0,0.3603,0.0,0.0,0.0544,0.0,0.2516,0.9861,0.0253,0.0733,0.7509,0.048,0.4589,0.5642666666666667,0.5250833333333333,0.16615714285714286,0.3242625,0.544675,0.2715607142857143,0.14791233205357146
0.4665,0.1669,0.4766,0.5145,0.4046,0.2225,0.8015,0.6283,0.5259,0.3325,0.2592,0.7408,0.0,0.3489,0.5499,0.3148,0.0,0.0,0.1252,0.0,0.2832,0.9747,0.0291,0.0796,0.871,0.0961,0.4526,0.37526666666666664,0.5480333333333333,0.19125714285714285,0.34828749999999997,0.46164999999999995,0.2959440476190476,0.1366225695833333
0.3477,0.5044,0.842,0.1138,0.8938,0.0683,0.3464,0.6498,0.5917,0.2756,0.2137,0.6081,0.0,0.3021,0.6157,0.2592,0.0,0.0,0.0986,0.0,0.2427,0.9848,0.0265,0.0506,0.8963,0.0518,0.464,0.4616666666666666,0.44754999999999995,0.18222857142857143,0.3395875,0.4546083333333333,0.2871345238095238,0.13053374731150794
