Asthma,CHD,Disability,LBW,OldAge,YoungAge,POC,NoIns,HBLI,LowInc,LowEd,Unemp,LingIso,Freight,PWDis,Waste,Psites,RMP,TRI,CF,CANCER,HI,PM25,DSLPM,PTRAF,RSEI_AIR,EBLL,SenPop,SEFac,EnvCond,EnvExp,PopChar,PolBur,Index
0.3477,0.5044,0.842,0.1138,0.8938,0.0683,0.3219,0.3464,0.6498,0.5917,0.2756,0.2137,0.6081,0.0,0.3021,0.6157,0.2592,0.0,0.0,0.0986,0.0,0.2427,0.0265,0.0506,0.8963,0.0518,0.464,0.4616666666666666,0.4295999999999999,0.18222857142857143,0.24741428571428573,0.44563333333333327,0.2256857142857143,0.10057307714285714
0.5424,0.3047,0.6966,0.3224,0.5158,0.1226,0.351,0.5689,0.6726,0.7712,0.2984,0.6751,0.6043,0.0,0.3439,0.5992,0.1795,0.0,0.0,0.1416,0.0,0.2845,0.0341,0.0885,0.9001,0.086,0.4576,0.4174166666666666,0.5630714285714286,0.18059999999999996,0.2644,0.4902440476190476,0.23646666666666669,0.1159263757936508
0.0619,0.6397,0.445,0.1542,0.9646,0.1075,0.2927,0.2819,0.6372,0.4513,0.1378,0.6726,0.4387,0.0,0.335,0.6258,0.0898,0.0,0.0,0.0518,0.0,0.244,0.0367,0.0632,0.9115,0.0544,0.4513,0.39548333333333335,0.4160285714285714,0.1574857142857143,0.25158571428571425,0.4057559523809524,0.22021904761904762,0.08935518939909298
0.5183,0.7863,0.8597,0.6738,0.9709,0.0101,0.2517,0.2668,0.3831,0.7674,0.402,0.6346,0.7965,0.0,0.3654,0.7446,0.3363,0.0,0.0,0.2617,0.0,0.2743,0.0417,0.0872,0.8255,0.1024,0.4551,0.6365166666666666,0.5003000000000001,0.24400000000000002,0.25517142857142855,0.5684083333333334,0.25144761904761903,0.14292492206349208
0.0885,0.7446,0.9039,0.0986,0.9608,0.0051,0.2305,0.1201,0.7168,0.0645,0.2971,0.6865,0.6258,0.0,0.3426,0.885,0.2794,0.0,0.0,0.2061,0.0,0.2503,0.0329,0.0594,0.8723,0.0619,0.4627,0.4669166666666667,0.3916142857142857,0.24472857142857143,0.2485,0.42926547619047617,0.24724285714285713,0.10613282280612243
0.0341,0.1884,0.2073,0.4058,0.7661,0.1719,0.1483,0.2389,0.3325,0.3856,0.2048,0.2465,0.5474,0.3059,0.4147,0.6372,0.7092,0.0,0.3805,0.4678,0.0,0.3249,0.048,0.1087,0.6662,0.1264,0.4539,0.29560000000000003,0.3005714285714286,0.4164714285714286,0.2468714285714286,0.2980857142857143,0.30340476190476195,0.09044062517006804
0.1138,0.201,0.268,0.5626,0.6056,0.1138,0.1775,0.4349,0.2617,0.0986,0.3148,0.1909,0.4526,0.6081,0.6802,0.0,0.5272,0.0,0.804,0.5461,0.2174,0.9924,0.0531,0.1226,0.5626,0.1757,0.4501,0.31079999999999997,0.27585714285714286,0.4522285714285715,0.3677,0.2933285714285714,0.3958761904761905,0.11612179741496598
0.1997,0.158,0.3919,0.3274,0.2655,0.1163,0.1868,0.7408,0.4109,0.3249,0.2377,0.1656,0.6283,0.6119,0.5107,0.0,0.6587,0.0,0.7231,0.5398,0.0,0.7939,0.0607,0.1694,0.7067,0.2174,0.3413,0.24313333333333334,0.38499999999999995,0.43488571428571426,0.3270571428571429,0.31406666666666666,0.363,0.11400619999999999
0.1441,0.1808,0.4273,0.2212,0.4008,0.0834,0.155,0.2857,0.4551,0.6435,0.1542,0.1833,0.4728,0.292,0.4387,0.6359,0.6726,0.0,0.3578,0.4817,0.0,0.2933,0.0582,0.1492,0.5651,0.1542,0.3401,0.24293333333333333,0.3356571428571428,0.4112428571428572,0.2228714285714286,0.28929523809523805,0.28566190476190484,0.08264062875283448
0.5891,0.7889,0.8989,0.3767,0.2035,0.3692,0.4967,0.7838,0.89,0.7952,0.8003,0.1011,0.8003,0.0,0.397,0.7724,0.598,0.0,0.0,0.3717,0.0,0.2491,0.0493,0.091,0.6119,0.1365,0.3388,0.5377166666666667,0.6667714285714287,0.3055857142857143,0.21094285714285715,0.6022440476190477,0.24249047619047617,0.14603844589002268
0.445,0.7231,0.8736,0.4273,0.9216,0.0746,0.3139,0.426,0.4753,0.5727,0.3818,0.1315,0.5815,0.0,0.3628,0.9279,0.6549,0.0,0.0,0.2162,0.0,0.263,0.043,0.7472,0.8698,0.115,0.3426,0.5775333333333333,0.41181428571428574,0.3088285714285714,0.3400857142857143,0.49467380952380957,0.3296666666666667,0.16307746587301591
0.1846,0.3464,0.3413,0.0531,0.8786,0.0329,0.147,0.153,0.4501,0.1618,0.1466,0.0228,0.2718,0.0,0.3451,0.6207,0.7788,0.0,0.0,0.0645,0.0,0.3198,0.0518,0.8293,0.8647,0.1694,0.3325,0.30615,0.1933,0.25844285714285714,0.36678571428571427,0.24972499999999997,0.33067142857142856,0.08257692249999998
0.5879,0.7434,0.8786,0.5942,0.7206,0.4475,0.4768,0.5575,0.8142,0.9684,0.6688,0.4437,0.7863,0.0,0.3717,0.6068,0.6448,0.0,0.0,0.0822,0.0,0.4134,0.0506,0.8129,0.804,0.1643,0.3338,0.6620333333333334,0.6736714285714286,0.24364285714285713,0.3684285714285714,0.667852380952381,0.3268333333333333,0.21827641984126983
0.6473,0.493,0.7737,0.732,0.2832,0.5032,0.4464,0.871,0.5992,0.8483,0.4943,0.4551,0.6865,0.0,0.3755,0.0,0.5638,0.0,0.0,0.0329,0.2174,0.488,0.0556,0.8255,0.5613,0.2212,0.33,0.5720666666666666,0.6286857142857142,0.1388857142857143,0.3855714285714286,0.6003761904761904,0.3033428571428572,0.18211982897959184
0.5411,0.1972,0.4513,0.531,0.1833,0.0708,0.151,0.3401,0.3881,0.4526,0.2301,0.2377,0.4286,0.2541,0.4564,0.0,0.7282,0.0,0.2212,0.4159,0.0,0.268,0.0632,0.2111,0.2149,0.2276,0.3312,0.32911666666666667,0.31831428571428566,0.29654285714285716,0.188,0.32371547619047614,0.22418095238095237,0.07257084375283446
0.0872,0.0948,0.1365,0.3439,0.1985,0.1593,0.2675,0.3717,0.1871,0.4437,0.0607,0.4083,0.4336,0.4576,0.5499,0.0,0.5714,0.0,0.3338,0.6372,0.0,0.5461,0.0708,0.2149,0.6056,0.2554,0.3375,0.17003333333333334,0.3103714285714286,0.3642714285714286,0.29004285714285716,0.24020238095238095,0.3147857142857143,0.07561227806122449
0.3552,0.1163,0.1504,0.2794,0.2491,0.263,0.1298,0.2263,0.4033,0.1277,0.1327,0.1466,0.3338,0.4627,0.5487,0.0,0.445,0.0,0.2769,0.7168,0.0,0.4893,0.0784,0.244,0.3426,0.2996,0.3363,0.23556666666666662,0.2143142857142857,0.3500142857142857,0.25574285714285716,0.22494047619047616,0.2871666666666667,0.06459540674603174
0.4349,0.2023,0.536,0.507,0.2111,0.0872,0.2623,0.6675,0.2807,0.6157,0.464,0.3135,0.6814,0.0,0.3919,0.0,0.3552,0.0,0.0,0.1479,0.2174,0.4096,0.0645,0.8319,0.6789,0.2453,0.335,0.32975000000000004,0.4693,0.12785714285714286,0.3975142857142857,0.399525,0.3076285714285714,0.122905305
0.182,0.2516,0.1049,0.1429,0.5322,0.311,0.1762,0.378,0.263,0.2314,0.3388,0.0379,0.5601,0.8913,0.7939,0.0,0.7636,0.0,0.9128,0.8748,0.2174,0.9595,0.0569,0.1075,0.3274,0.2566,0.3603,0.2541,0.28362857142857145,0.6052,0.32651428571428565,0.2688642857142857,0.41940952380952373,0.11276424204081631
0.1568,0.2061,0.153,0.2882,0.3578,0.2326,0.1576,0.3527,0.3262,0.0923,0.2149,0.2225,0.579,0.0,0.8154,0.0,0.7522,0.0,0.2149,0.4399,0.0,0.5322,0.0973,0.2124,0.6612,0.3856,0.3578,0.2324166666666667,0.2778857142857143,0.3174857142857143,0.3209285714285714,0.2551511904761905,0.31978095238095233,0.08159249069160997
0.354,0.507,0.1922,0.4716,0.2668,0.7004,0.449,0.9469,0.7661,0.6283,0.5638,0.6435,0.8685,0.0,0.8685,0.0,0.512,0.0,0.2743,0.1934,0.0,0.6372,0.0695,0.1656,0.6751,0.3641,0.3616,0.41533333333333333,0.6951571428571428,0.26402857142857145,0.3247285714285715,0.5552452380952381,0.30449523809523815,0.16906953097505673
0.1125,0.4855,0.1631,0.1972,0.7737,0.4071,0.343,0.6018,0.1403,0.4678,0.3464,0.5841,0.7155,0.0,0.9532,0.0,0.5904,0.0,0.5853,0.3236,0.0,0.2857,0.0999,0.2035,0.1934,0.4147,0.3831,0.35651666666666665,0.4569857142857143,0.35035714285714287,0.22575714285714285,0.40675119047619046,0.2672904761904762,0.10872071939342404
0.0442,0.153,0.1315,0.4475,0.4905,0.4008,0.2371,0.2971,0.1125,0.0152,0.3982,0.1757,0.5815,0.2301,0.6953,0.0,0.7472,0.0,0.3236,0.2705,0.0,0.6321,0.0796,0.1884,0.6776,0.3211,0.354,0.27791666666666665,0.2596142857142857,0.3238142857142857,0.32182857142857146,0.2687654761904762,0.3224904761904762,0.08667430640022676
0.0771,0.0721,0.2212,0.0632,0.0417,0.1441,0.0993,0.2415,0.1795,0.0948,0.0392,0.4412,0.3161,0.6877,0.603,0.0,0.9128,0.0,0.7661,0.5689,0.0,0.7927,0.067,0.177,0.196,0.2731,0.3552,0.10323333333333333,0.20165714285714284,0.5055,0.26585714285714285,0.15244523809523808,0.34573809523809523,0.05270612624716552
0.048,0.1024,0.1846,0.0746,0.1972,0.2276,0.1457,0.5095,0.2984,0.1694,0.1934,0.043,0.4728,0.3047,0.7067,0.0,0.8319,0.0,0.4083,0.5411,0.0,0.5449,0.0885,0.2415,0.5499,0.3578,0.359,0.13906666666666667,0.2617428571428571,0.3989571428571429,0.3059428571428571,0.2004047619047619,0.33694761904761905,0.0675259073696145
0.1732,0.1365,0.1783,0.1504,0.263,0.3894,0.1113,0.2933,0.1707,0.1302,0.158,0.4121,0.3932,0.0,0.8369,0.0,0.8192,0.0,0.3211,0.5209,0.0,0.6346,0.1176,0.2541,0.6561,0.4083,0.3856,0.21513333333333332,0.2384,0.35687142857142856,0.35090000000000005,0.22676666666666667,0.35289047619047625,0.080023796984127
0.1757,0.2137,0.1985,0.3009,0.3085,0.1681,0.1417,0.1757,0.1694,0.0619,0.2693,0.1517,0.5664,0.0,0.8521,0.0,0.6233,0.0,0.4096,0.3881,0.0,0.6435,0.1277,0.3262,0.292,0.4134,0.3818,0.22756666666666667,0.21944285714285713,0.3247285714285714,0.3120857142857143,0.2235047619047619,0.3163,0.0706945561904762
0.1365,0.1113,0.2086,0.1062,0.598,0.0923,0.0053,0.6726,0.6612,0.1037,0.0733,0.4463,0.4248,0.3009,0.7206,0.0,0.6435,0.0,0.67,0.6068,0.0,0.5398,0.1087,0.2693,0.1795,0.3742,0.3565,0.20881666666666668,0.34102857142857135,0.42025714285714283,0.2611428571428571,0.274922619047619,0.3141809523809524,0.0863754502834467
0.1087,0.0936,0.0544,0.048,0.0632,0.4551,0.0252,0.2326,0.0493,0.0822,0.1429,0.2491,0.2491,0.5942,0.6473,0.0,0.3477,0.0,0.6485,0.7826,0.2174,0.6359,0.1037,0.4867,0.3021,0.3881,0.1037,0.13716666666666666,0.1472,0.43147142857142856,0.31965714285714286,0.14218333333333333,0.35692857142857143,0.05074929404761905
0.1416,0.225,0.5904,0.086,0.6448,0.8597,0.1391,0.0455,0.0367,0.0544,0.3072,0.1795,0.4791,0.3805,0.732,0.0,0.3375,0.0,0.7484,0.7193,0.2174,0.5411,0.1201,0.5019,0.5386,0.421,0.1049,0.42458333333333337,0.17735714285714285,0.41681428571428575,0.3492857142857143,0.3009702380952381,0.3717952380952381,0.11189930133219955
0.1517,0.1985,0.2908,0.0796,0.3843,0.7105,0.2662,0.1302,0.0923,0.1087,0.0657,0.091,0.3464,0.0,0.8432,0.0,0.3097,0.0,0.4273,0.4121,0.2174,0.6448,0.1391,0.5221,0.6877,0.4475,0.1075,0.30256666666666665,0.1572142857142857,0.28461428571428565,0.3951571428571428,0.22989047619047617,0.35830952380952374,0.08237194705215417
0.0759,0.1441,0.0923,0.2149,0.0898,0.9077,0.049,0.1504,0.0354,0.0063,0.1138,0.1416,0.3464,0.3793,0.7155,0.6056,0.3338,0.0,0.5954,0.6625,0.2174,0.646,0.1479,0.6485,0.5866,0.5209,0.1011,0.25411666666666666,0.12041428571428571,0.47030000000000005,0.4097714285714287,0.18726547619047618,0.4299476190476191,0.08051434561791383
0.0657,0.067,0.158,0.0961,0.3717,0.2984,0.0172,0.0101,0.1353,0.0834,0.0,0.2819,0.0796,0.5917,0.6296,0.0,0.6625,0.0,0.7889,0.7649,0.2174,0.7143,0.1327,0.6435,0.3692,0.4728,0.0936,0.17615,0.08678571428571429,0.49108571428571424,0.37764285714285706,0.13146785714285714,0.4154571428571428,0.054619260306122436
0.0645,0.0771,0.129,0.3869,0.1542,0.3312,0.0132,0.4501,0.0316,0.3097,0.0607,0.4159,0.3274,0.4374,0.6321,0.0,0.2604,0.0,0.4336,0.4968,0.2174,0.7965,0.1454,0.6713,0.0177,0.5626,0.0923,0.19048333333333334,0.2298,0.3229,0.3576,0.21014166666666667,0.34603333333333336,0.0727160213888889
0.0721,0.091,0.0367,0.0733,0.0569,0.9115,0.1974,0.0,0.1315,0.0013,0.158,0.2427,0.1922,0.2895,0.6751,0.6271,0.1593,0.0,0.3274,0.2895,0.2174,0.775,0.1568,0.6839,0.0506,0.6688,0.0961,0.20691666666666667,0.13187142857142858,0.3382714285714285,0.3783714285714285,0.16939404761904764,0.36500476190476183,0.06182963401927437
